config_id,seed,N,M,beta,V,V_scale,bandwidth_hz,bandwidth_mhz,noise_w,energy_j_per_slot,backlog_mbit,trace_path,trace_sha256
c09,520929,100.0,10.0,1.0,300000000000.0,1.0,2000000.0,2.0,1e-10,0.2553574297976269,8.169915397262791,experiments/results/parameter_sensitivity_v1/traces/c09_s520929.npz,5dd6e53043f074daf00ea93bb3b33b0288e3899dd4f8ed6738663f6b9d08bddc
c09,520930,100.0,10.0,1.0,300000000000.0,1.0,2000000.0,2.0,1e-10,0.2598775231362517,8.189934202227784,experiments/results/parameter_sensitivity_v1/traces/c09_s520930.npz,b27c0bfca0d16f8bf31345096bd3f487076da64e430cb122defb99ed1e09db43
c09,520931,100.0,10.0,1.0,300000000000.0,1.0,2000000.0,2.0,1e-10,0.25822133883648224,8.191657620466035,experiments/results/parameter_sensitivity_v1/traces/c09_s520931.npz,7cddc66599931c5eacb8e4c1beec8f186f029c2e41cc84f39562f0d967ae539f
c10,520927,100.0,10.0,1.5,300000000000.0,1.0,2000000.0,2.0,1e-10,0.742815840848337,16.227375656813276,experiments/results/parameter_sensitivity_v1/traces/c10_s520927.npz,4cf557caf52abddc8384521dadb7bd3cddfb6a87957adbafe20e4c392662311f
c10,520928,100.0,10.0,1.5,300000000000.0,1.0,2000000.0,2.0,1e-10,0.7420974120253735,16.17519932507147,experiments/results/parameter_sensitivity_v1/traces/c10_s520928.npz,e10f07425e5d5bc579af5983164f4b34731b737faa659ac54106b0fba0129e66
c10,520929,100.0,10.0,1.5,300000000000.0,1.0,2000000.0,2.0,1e-10,0.7356618407843142,16.128246901561504,experiments/results/parameter_sensitivity_v1/traces/c10_s520929.npz,8e3f2747f6044b8ba5d98a94400508df7c2129b92571b69d57eefadefe098d29
c10,520930,100.0,10.0,1.5,300000000000.0,1.0,2000000.0,2.0,1e-10,0.7445505167961587,16.214579307377615,experiments/results/parameter_sensitivity_v1/traces/c10_s520930.npz,136ef61316c336403018039c4031052d2ba4052ddfe461797199b72374ecf50f
c10,520931,100.0,10.0,1.5,300000000000.0,1.0,2000000.0,2.0,1e-10,0.7411533227768509,16.184339416209763,experiments/results/parameter_sensitivity_v1/traces/c10_s520931.npz,45b756a912c984e9e449e5332a38f1f7727d148ef91f8e99c46d752a33fc8b4e
c11,520927,100.0,10.0,2.5,300000000000.0,1.0,2000000.0,2.0,1e-10,3.1502923239941394,44.64312434365163,experiments/results/parameter_sensitivity_v1/traces/c11_s520927.npz,edc1a955844fd33721737242f68c956adedbb5002c700c6a227a6d236a457cea
c11,520928,100.0,10.0,2.5,300000000000.0,1.0,2000000.0,2.0,1e-10,3.1586171072062603,44.69456523626282,experiments/results/parameter_sensitivity_v1/traces/c11_s520928.npz,f46a7f88825d84a32759ec2bf6212a5d02388ab58293af085e7259793a403cc4
c11,520929,100.0,10.0,2.5,300000000000.0,1.0,2000000.0,2.0,1e-10,3.1477989460389666,44.653377588250784,experiments/results/parameter_sensitivity_v1/traces/c11_s520929.npz,4384a92adb49d98516015149556e1b900c3d1ba57b690e3c925b733aa3b9975b
c11,520930,100.0,10.0,2.5,300000000000.0,1.0,2000000.0,2.0,1e-10,3.1595867357575385,44.698187462834916,experiments/results/parameter_sensitivity_v1/traces/c11_s520930.npz,c9ce22804e97c8d435e99d88e4384fc21d92c5f47848bcb777f61ba1b768c244
c11,520931,100.0,10.0,2.5,300000000000.0,1.0,2000000.0,2.0,1e-10,3.1528404846121245,44.658720874890506,experiments/results/parameter_sensitivity_v1/traces/c11_s520931.npz,bf8be8232bb8bb122e3241d5a107d43b6d34635d58364afc1d1d91c79d27cf84
c12,520927,100.0,10.0,3.0,300000000000.0,1.0,2000000.0,2.0,1e-10,5.349904313702399,64.16667236394083,experiments/results/parameter_sensitivity_v1/traces/c12_s520927.npz,c9111043e10853d846321c9be26430cc0feb41a4ffe36b1045e3f12d7b99b8a6
c12,520928,100.0,10.0,3.0,300000000000.0,1.0,2000000.0,2.0,1e-10,5.3649828567805375,64.26021117989283,experiments/results/parameter_sensitivity_v1/traces/c12_s520928.npz,42c970371acb57d33aaa13f11592580c3c863433829d38727ed2c816e0b31968
c12,520929,100.0,10.0,3.0,300000000000.0,1.0,2000000.0,2.0,1e-10,5.3518638926896935,64.2210081128424,experiments/results/parameter_sensitivity_v1/traces/c12_s520929.npz,f11c2addac0d64badf81fb4d71c33e8a732782b0fbd3f9e11a0b9d1dac35da2f
c12,520930,100.0,10.0,3.0,300000000000.0,1.0,2000000.0,2.0,1e-10,5.368708218507211,64.28590731015507,experiments/results/parameter_sensitivity_v1/traces/c12_s520930.npz,35a62a9f6c5a620d871630503eb59aa086f708c4b1feb17da2c54576b5ff4085
c12,520931,100.0,10.0,3.0,300000000000.0,1.0,2000000.0,2.0,1e-10,5.361525297052858,64.25618489304046,experiments/results/parameter_sensitivity_v1/traces/c12_s520931.npz,71008bb3453287f55138d2e86cbc28eb0b2235e4e410822f3a0302ebff87023b
c13,520927,100.0,5.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,3.1791433510835674,56.73193706538439,experiments/results/parameter_sensitivity_v1/traces/c13_s520927.npz,108c9f371a3f74f92f1f3c5153d61057b926aa4000b079a8b38aa4f677f27332
c13,520928,100.0,5.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,3.182156160469001,56.747147193855966,experiments/results/parameter_sensitivity_v1/traces/c13_s520928.npz,90f48ad450e10eb1d63045709b0bbecd41701754e76be4beab9d9c79ee53a05d
c13,520929,100.0,5.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,3.1789862068516164,56.765919811159435,experiments/results/parameter_sensitivity_v1/traces/c13_s520929.npz,39df34951f359adec4b4c095cbf193b6d8e0f7568f9154aacf13b3f6cc22b404
c13,520930,100.0,5.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,3.184336395246679,56.78661981558575,experiments/results/parameter_sensitivity_v1/traces/c13_s520930.npz,129f64408454e87e6fb007bba367a51841cbb8a060927b636e87f735b8807cea
c13,520931,100.0,5.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,3.1844657556246285,56.767949963224225,experiments/results/parameter_sensitivity_v1/traces/c13_s520931.npz,2f266776f1a160dd9d37d9c22c7d63be0846cc234060ea79d2dc175a7ee79722
c14,520927,100.0,15.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,1.05790090588604,17.969615732349837,experiments/results/parameter_sensitivity_v1/traces/c14_s520927.npz,b6bb17c035b4a45e68981398c83570046aa879947592f726a1b9cd211911240e
c14,520928,100.0,15.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,1.0614810905440621,17.9715806751891,experiments/results/parameter_sensitivity_v1/traces/c14_s520928.npz,70e94316e80a0cbc07c437c1bf95149a37fddc500f324caf0ae39b4eae99d4f0
c14,520929,100.0,15.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,1.0555946941385688,17.978680189557913,experiments/results/parameter_sensitivity_v1/traces/c14_s520929.npz,855454f0daf22f8f239e214f9a3f9c5df4d8f7905c2d8cbb19af52734a335a21
c14,520930,100.0,15.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,1.062262647347619,17.980487953115084,experiments/results/parameter_sensitivity_v1/traces/c14_s520930.npz,93bce1a00327351f9f497893a4389a112a632599870f1f25f7d5406bf5857f03
c14,520931,100.0,15.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,1.059908034957964,17.97911015202944,experiments/results/parameter_sensitivity_v1/traces/c14_s520931.npz,59f0a54cef7c53ddc7bd7f16d68ed5d6aaff274c4ec813852279ac658be4afbc
c15,520927,100.0,20.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,0.772014543979359,16.334536782056983,experiments/results/parameter_sensitivity_v1/traces/c15_s520927.npz,178c232113cf66da3fb9a16958d79536671cdc35a28cf478fcbf41e1faa020a4
c15,520928,100.0,20.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,0.7754585371815537,16.334373703551975,experiments/results/parameter_sensitivity_v1/traces/c15_s520928.npz,f570521cdc12198ba1f9574b192370b68f1d0d43dbaf0479647c73c1803ae556
c15,520929,100.0,20.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,0.7697741888061534,16.340137001907838,experiments/results/parameter_sensitivity_v1/traces/c15_s520929.npz,5b317c935dee774c107cc15639badc0b3725babefd1cb13213b2276b729bdcc0
c15,520930,100.0,20.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,0.7769097335384905,16.339246208230296,experiments/results/parameter_sensitivity_v1/traces/c15_s520930.npz,fe72cee60ce6fd7a0b3f0c644ab263fafee5edcf12128ca4942b80ca60bb392a
c15,520931,100.0,20.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,0.7744472136466164,16.338121787251723,experiments/results/parameter_sensitivity_v1/traces/c15_s520931.npz,f34dcf31adef0893a7be0db9e74c74d50c7357ca1c488ed46a72ece230a92e16
c16,520927,100.0,10.0,2.0,300000000000.0,1.0,1000000.0,1.0,5e-11,1.6739406555779741,28.659802478936513,experiments/results/parameter_sensitivity_v1/traces/c16_s520927.npz,e1cbbf0a5c1c632a46f2d7d8abb985c2bb5dde80d35976a3372707633721c491
c16,520928,100.0,10.0,2.0,300000000000.0,1.0,1000000.0,1.0,5e-11,1.6779219456224026,28.67262177737348,experiments/results/parameter_sensitivity_v1/traces/c16_s520928.npz,4764cb9eae282dac26a4cf3144404cb54f51460aa448d3c54381c822daf8c495
c16,520929,100.0,10.0,2.0,300000000000.0,1.0,1000000.0,1.0,5e-11,1.6720790008940987,28.671578830886556,experiments/results/parameter_sensitivity_v1/traces/c16_s520929.npz,7fa461575723527a89c5a9c72a1f10063f55c6194221dae11d080b714da1f8d6
c16,520930,100.0,10.0,2.0,300000000000.0,1.0,1000000.0,1.0,5e-11,1.6803601774595394,28.69438917228856,experiments/results/parameter_sensitivity_v1/traces/c16_s520930.npz,5d4f75b587646eb198013ee8329c111d4a2943169483e29340e4bb1a35e67e46
c16,520931,100.0,10.0,2.0,300000000000.0,1.0,1000000.0,1.0,5e-11,1.6765979461689622,28.68185455730081,experiments/results/parameter_sensitivity_v1/traces/c16_s520931.npz,c9bde26695da587909343e326aa77eea35b783c14916b32ec92e92a0b7d8e70e
c17,520927,100.0,10.0,2.0,300000000000.0,1.0,1500000.0,1.5,7.5e-11,1.6637204006486779,28.635673730619327,experiments/results/parameter_sensitivity_v1/traces/c17_s520927.npz,86a88b5a4754a66785bc5df82f2ebb6cb438a73f8f434709bb7835c53da9137c
c17,520928,100.0,10.0,2.0,300000000000.0,1.0,1500000.0,1.5,7.5e-11,1.667417128361758,28.647824465126256,experiments/results/parameter_sensitivity_v1/traces/c17_s520928.npz,01f64e2a43dd12b30f830d34c5500d195d9007bda4ffd9e98382f1ffdf0215dd
c17,520929,100.0,10.0,2.0,300000000000.0,1.0,1500000.0,1.5,7.5e-11,1.6621390738965964,28.647977843125386,experiments/results/parameter_sensitivity_v1/traces/c17_s520929.npz,a1a6b74c602a036a03a7a1c32b5d61e86d93980e2d2d618b325e3e7507f600bf
c17,520930,100.0,10.0,2.0,300000000000.0,1.0,1500000.0,1.5,7.5e-11,1.669893365907107,28.66957689444561,experiments/results/parameter_sensitivity_v1/traces/c17_s520930.npz,31e0ffb7d12a7cbf62ce1920e52e6aa08c83f4cd473a80699ed08695accfa0ff
c17,520931,100.0,10.0,2.0,300000000000.0,1.0,1500000.0,1.5,7.5e-11,1.6663134484218205,28.657534525278056,experiments/results/parameter_sensitivity_v1/traces/c17_s520931.npz,38fc1302149935b92f9951b9dca5119bf05b754fcaf39800a880ae47dfa6f4ff
c18,520927,100.0,10.0,2.0,300000000000.0,1.0,3000000.0,3.0,1.5e-10,1.6543546788069967,28.61476840421728,experiments/results/parameter_sensitivity_v1/traces/c18_s520927.npz,9934b5665de6be54fe6330c09932ccd0c7ab69c77aa17de210995d1851d99cdb
c18,520928,100.0,10.0,2.0,300000000000.0,1.0,3000000.0,3.0,1.5e-10,1.6578564900676502,28.62643773886643,experiments/results/parameter_sensitivity_v1/traces/c18_s520928.npz,a66d1ad08a44c9749a2c5cc4e34b18f2ca6d903781cfa7344cc08868abbc1e33
c18,520929,100.0,10.0,2.0,300000000000.0,1.0,3000000.0,3.0,1.5e-10,1.6528789474583154,28.6274693956437,experiments/results/parameter_sensitivity_v1/traces/c18_s520929.npz,d06065668d5a24432e937fceb3236a3f3c4206a6dd8f8f803e71f382ccee9084
c18,520930,100.0,10.0,2.0,300000000000.0,1.0,3000000.0,3.0,1.5e-10,1.6601971579447612,28.648051365794796,experiments/results/parameter_sensitivity_v1/traces/c18_s520930.npz,482f3e7d8d15cf5cd3edf2392647de4969780b1e754b7643b42b6dfc3ccd822a
c18,520931,100.0,10.0,2.0,300000000000.0,1.0,3000000.0,3.0,1.5e-10,1.6568722765119466,28.63640381566919,experiments/results/parameter_sensitivity_v1/traces/c18_s520931.npz,6e3866b9726381eff7ae3398a2e6a736f6d4a5dcfba7a90a92486fc28c441380
c19,520927,100.0,10.0,2.0,300000000000.0,1.0,4000000.0,4.0,2e-10,1.652131318620056,28.609941100701707,experiments/results/parameter_sensitivity_v1/traces/c19_s520927.npz,ecc0a63a42adf15ff39f8e17703252fd1b57e03c8b94f09c5e32a24ca03768d3
c19,520928,100.0,10.0,2.0,300000000000.0,1.0,4000000.0,4.0,2e-10,1.6555656932449825,28.6215362199305,experiments/results/parameter_sensitivity_v1/traces/c19_s520928.npz,36c8009073c535c02744584062b1fa87e8dc26f2b3b6a6e2519984b1ef308ee4
c19,520929,100.0,10.0,2.0,300000000000.0,1.0,4000000.0,4.0,2e-10,1.650695795646454,28.622791076268577,experiments/results/parameter_sensitivity_v1/traces/c19_s520929.npz,0259e761cf3ab1ed178458fc5e5f88cb795089a3972bcacfa4297ae94972fd7f
c19,520930,100.0,10.0,2.0,300000000000.0,1.0,4000000.0,4.0,2e-10,1.6579088326359885,28.64311963334606,experiments/results/parameter_sensitivity_v1/traces/c19_s520930.npz,c0c7994380bf73b60db022d3e54718d08451301a210368c492d12ced4d40f337
c19,520931,100.0,10.0,2.0,300000000000.0,1.0,4000000.0,4.0,2e-10,1.6545858398718938,28.63155504165371,experiments/results/parameter_sensitivity_v1/traces/c19_s520931.npz,fc03725a01c91b8450ca5b3a590620f6981a2d5346f51fbd3b9f7a221e3fd065
